tag_id,is_fixed,has_corners,c0_x,c0_y,c0_z,c1_x,c1_y,c1_z,c2_x,c2_y,c2_z,c3_x,c3_y,c3_z
10,0,0,,,,,,,,,,,,
11,1,1,5.8818473815917969,-19.93177604675293,13.828201293945312,5.8706169128417969,-20.087446212768555,13.792981147766113,5.7302112579345703,-20.094598770141602,13.869369506835938,5.7414417266845703,-19.938928604125977,13.904589653015137
13,0,0,,,,,,,,,,,,
14,1,1,5.3131504058837891,-22.26678466796875,12.570292472839355,5.3313398361206055,-22.422351837158203,12.537607192993164,5.2276105880737305,-22.458896636962891,12.653817176818848,5.2094211578369141,-22.303329467773438,12.686502456665039
15,1,1,5.1426219940185547,-23.485902786254883,12.20769214630127,5.1463255882263184,-23.641605377197266,12.171043395996094,5.0564117431640625,-23.673952102661133,12.299376487731934,5.0527081489562988,-23.51824951171875,12.336025238037109
17,1,1,4.8614487648010254,-25.146944046020508,11.09079647064209,4.8823633193969727,-25.292980194091797,11.028861999511719,4.8076777458190918,-25.357160568237305,11.154969215393066,4.7867631912231445,-25.211124420166016,11.216903686523438
19,1,1,4.892359733581543,-26.73345947265625,10.197874069213867,4.9150476455688477,-26.883333206176758,10.146658897399902,4.8316965103149414,-26.938625335693359,10.271539688110352,4.8090085983276367,-26.788751602172852,10.322754859924316
21,1,1,5.5467772483825684,-28.926752090454102,9.5447921752929688,5.5776124000549316,-29.078359603881836,9.5039968490600586,5.499910831451416,-29.129220962524414,9.6342868804931641,5.4690756797790527,-28.97761344909668,9.6750822067260742
23,1,1,6.4957871437072754,-29.873579025268555,8.7921991348266602,6.5813708305358887,-29.988370895385742,8.7207975387573242,6.5260653495788574,-30.095212936401367,8.8262777328491211,6.4404816627502441,-29.98042106628418,8.897679328918457
24,0,0,,,,,,,,,,,,
25,1,1,7.7005233764648438,-30.351325988769531,7.9678349494934082,7.8245358467102051,-30.430803298950195,7.9053516387939453,7.7955150604248047,-30.553516387939453,8.0038385391235352,7.6715025901794434,-30.474039077758789,8.0663223266601562
26,1,1,8.6631097793579102,-31.056884765625,7.690974235534668,8.7584667205810547,-31.153514862060547,7.6063003540039062,8.6914701461791992,-31.280887603759766,7.6762113571166992,8.5961132049560547,-31.184257507324219,7.7608852386474609
29,1,1,10.337654113769531,-33.360973358154297,5.4384536743164062,10.405969619750977,-33.459770202636719,5.332756519317627,10.344429016113281,-33.585399627685547,5.4104099273681641,10.276113510131836,-33.486602783203125,5.5161070823669434
32,1,1,12.261289596557617,-34.859123229980469,3.7355048656463623,12.351018905639648,-34.930171966552734,3.6236965656280518,12.219093322753906,-34.990348815917969,3.5560605525970459,12.129364013671875,-34.919300079345703,3.6678688526153564
35,1,1,14.453468322753906,-35.605602264404297,1.514421820640564,14.557759284973145,-35.652587890625,1.4025464057922363,14.441133499145508,-35.732120513916016,1.3272281885147095,14.33684253692627,-35.685134887695312,1.4391036033630371
36,1,1,15.182864189147949,-35.861259460449219,0.51698696613311768,15.286261558532715,-35.904720306396484,0.4028812050819397,15.172211647033691,-35.99249267578125,0.33296671509742737,15.068814277648926,-35.949031829833984,0.44707244634628296
40,0,0,,,,,,,,,,,,
41,1,1,6.9568133354187012,-31.705041885375977,4.6000175476074219,6.8562994003295898,-31.614109039306641,4.6850357055664062,6.7914738655090332,-31.745630264282227,4.7490663528442383,6.8919878005981445,-31.836563110351562,4.6640481948852539
44,1,1,146.41897583007812,67.268333435058594,-38.714679718017578,146.30654907226562,67.379310607910156,-38.689334869384766,146.24807739257812,67.292442321777344,-38.568363189697266,146.36050415039062,67.181465148925781,-38.593708038330078
46,1,1,3.1211769580841064,-28.840671539306641,8.1321477890014648,2.9886610507965088,-28.840368270874023,8.042485237121582,2.9065678119659424,-28.905124664306641,8.1635942459106445,3.03908371925354,-28.905427932739258,8.2532567977905273
51,0,0,,,,,,,,,,,,
53,0,0,,,,,,,,,,,,
63,1,1,1608.6585693359375,1071.6317138671875,-487.91021728515625,1608.541015625,1071.740234375,-487.90936279296875,1608.5826416015625,1071.7864990234375,-488.05670166015625,1608.7001953125,1071.677978515625,-488.05755615234375
70,0,0,,,,,,,,,,,,
72,1,1,3.8374316692352295,-15.363555908203125,7.2164640426635742,3.7876856327056885,-15.371326446533203,7.3683357238769531,3.8158495426177979,-15.214771270751953,7.3855714797973633,3.8655955791473389,-15.207000732421875,7.2336997985839844
74,1,1,2260.227294921875,1527.0635986328125,-695.8046875,2260.214599609375,1527.222412109375,-695.81805419921875,2260.072021484375,1527.2169189453125,-695.74560546875,2260.084716796875,1527.05810546875,-695.73223876953125
75,1,1,5.0101151466369629,-14.372071266174316,1.6986926794052124,5.0962948799133301,-14.245506286621094,1.7451077699661255,4.9615368843078613,-14.166121482849121,1.7788482904434204,4.8753571510314941,-14.292686462402344,1.7324331998825073
76,1,1,1854.510009765625,1310.6170654296875,-575.64581298828125,1854.4432373046875,1310.6187744140625,-575.791259765625,1854.302001953125,1310.6563720703125,-575.72601318359375,1854.3687744140625,1310.6546630859375,-575.58056640625
77,1,1,1434.009521484375,1097.8070068359375,-444.93038940429688,1434.037109375,1097.778076171875,-444.77545166015625,1433.975341796875,1097.6314697265625,-444.79190063476562,1433.94775390625,1097.660400390625,-444.94683837890625
78,0,0,,,,,,,,,,,,
